Categoría,Producto,Descripción,Imagen
Cementos y Morteros,Cemento gris,"Cemento Portland para concreto, losas, columnas y zapatas.",cemento-gris
Cementos y Morteros,Cemento blanco,Cemento para acabados decorativos y boquillas.,cemento-blanco
Cementos y Morteros,Mortero premezclado,Mezcla lista para asentado de block y aplanados.,mortero-premezclado
Cementos y Morteros,Pegazulejo,Adhesivo para colocación de azulejo y cerámica.,pega-azulejo
Cementos y Morteros,Adhesivo para porcelanato,Adhesivo de alta adherencia para porcelanato.,adhesivo-porcelanato
Cementos y Morteros,Pega teja,Adhesivo flexible para fijación de tejas.,pega-teja
Estucos y Recubrimientos,Estuco exterior,Recubrimiento para acabados exteriores resistente al clima.,estuco-exterior
Estucos y Recubrimientos,Estuco interior,Acabado fino para muros interiores.,estuco-interior
Estucos y Recubrimientos,Estuco pulido,Estuco de textura fina para superficies lisas.,estuco-pulido
Estucos y Recubrimientos,Estuco coloreado,Recubrimiento decorativo con color integrado.,estuco-coloreado
Cubiertas para Techos,Lámina de policarbonato,Permite paso de luz natural en techos y terrazas.,lamina-policarbonato
Cubiertas para Techos,Lámina termoacústica,Reduce calor y ruido en techumbres.,lamina-termoacustica
Cubiertas para Techos,Lámina P7,Lámina estructural para techos y fachadas.,lamina-p7
Cubiertas para Techos,Lámina Duro SX,Cubierta corrugada resistente al clima.,lamina-duro-sx
Tejas,Teja asfáltica,Cubierta impermeable para techos residenciales.,teja-asfaltica
Tejas,Multiteja,Teja ligera de apariencia tradicional.,multiteja
Accesorios para Techos,Caballete,Elemento de cierre para cumbrera del techo.,caballete
Accesorios para Techos,Bota aguas,Dirige el flujo del agua pluvial.,bota-aguas
Accesorios para Techos,Sellador para cumbrera,Evita filtraciones en techos.,sellador-cumbrera
Aditivos,Resina,Mejora adherencia y resistencia del mortero.,resina
Aditivos,Antisalitre,Evita manchas blancas en muros.,antisalitre
Aditivos,Acelerante de fraguado,Reduce el tiempo de secado del concreto.,acelerante-fraguado
Impermeabilización,Impermeabilizante,Protege superficies contra filtraciones de agua.,impermeabilizante
Impermeabilización,Junteador con arena,Relleno de juntas para pisos y muros.,junteador-arena
Agregados,Granzón,Agregado para bases y cimientos.,granzon
Agregados,Tepezil,Material ligero para rellenos.,tepezil
Acero de Refuerzo,Castillo Armex,Refuerzo vertical estructural para muros.,castillo-armex
Fijación,Clavo para concreto,Clavo de alta dureza para concreto.,clavo-concreto
Fijación,Clavo para madera,Clavo de uso general para carpintería.,clavo-madera
Block y Mampostería,Block hueco de concreto,Elemento de mampostería para muros estructurales.,block-hueco
Block y Mampostería,Block sólido de concreto,Block de mayor resistencia para muros de carga.,block-solido
Block y Mampostería,Block ligero,Block de peso reducido para divisiones.,block-ligero
Block y Mampostería,Adoquín de concreto,Pieza prefabricada para pavimentos y exteriores.,adoquin-concreto
Block y Mampostería,Tabicón,Elemento de mampostería para muros y bardas.,tabicon
Obra Negra,Ladrillo rojo,"Pieza de arcilla cocida utilizada para muros, bardas y fachadas.",
Obra Negra,Piedra braza,"Piedra natural usada en cimientos, muros de contención y mampostería rústica.",
Obra Negra,Cal hidratada,Material aglutinante usado en morteros y aplanados.,
Obra Negra,Vigueta pretensada,Elemento estructural prefabricado para sistemas de losa.,
